Question_ID,Question,Gold_Answer,Model_Answer,Exact_Match,Status,Total_Latency_Sec,Input_Tokens,Output_Tokens,Soft_Match_Score,Avg_Latency_Per_Step
6ed57e2cc8e3a916,Doanh thu cao nhất trong giai đoạn FY17-FY21 là bao nhiêu (tỷ VND)?,4216.0,4216,1,SUCCESS,4.4908,1137,2,0,4.4908
53e4ecb424fb32b7,Biên lợi nhuận đóng gói tiêu dùng trong năm 2013 là bao nhiêu?,0.04687,Không có thông tin về biên lợi nhuận đóng gói tiêu dùng trong năm 2013 trong ngữ cảnh.,0,SUCCESS,3.7761,1384,35,0,3.7761
07533e4ae61fe888,Giá trị EBIT thấp nhất trong giai đoạn 2014-2019?,268.0,268,1,SUCCESS,3.6558,827,1,0,3.6558
77ca979a0884a3dd,Lợi nhuận sau thuế của VSH trong năm 2021 tăng bao nhiêu tỷ đồng so với năm 2020?,293.0,242 tỷ đồng.,0,SUCCESS,3.6587,1169,6,0,3.6587
a60f6763aff3c35f,Biên lợi nhuận hoạt động kinh doanh (Biên LN HĐKD) cao nhất trong giai đoạn được liệt kê là bao nhiêu phần trăm?,25.7,38.5%,0,SUCCESS,3.6623,1122,4,0,3.6623
dba2f48e8cfd3388,Tỷ suất lợi nhuận đầu tư (ROI) của khoản đầu tư vào chỉ số Nasdaq Composite từ tháng 3 năm 2006 đến tháng 3 năm 2009 là bao nhiêu?,-0.3467,-34.67%,1,SUCCESS,3.6018,1000,5,0,3.6018
aba68a617a0cf19a,Mức tăng chi phí xây dựng tính theo phần trăm so với mức tăng tiền mặt ròng sử dụng trong hoạt động đầu tư năm 2003 là bao nhiêu?,0.65153,"57,4 / 88,1 = 65,2%",0,SUCCESS,3.482,1247,14,0,3.482
0eb69867f3de6f97,tỷ lệ tăng trung bình trong số dư lợi ích thuế chưa được công nhận từ năm 2011 đến 2013 là bao nhiêu?,0.90147,9.5%,0,SUCCESS,3.8126,1212,4,0,3.8126
fea7e78932a43c31,Doanh thu thuần cao nhất trong giai đoạn 2019-2023F là bao nhiêu (tỷ đồng)?,2333.0,2333,1,SUCCESS,4.6345,1315,2,0,4.6345
cc8d09b602aeb047,"Chi phí vốn trung bình hàng năm cho bộ phận doanh nghiệp là bao nhiêu, tính bằng triệu đô la?",44.66667,44.67 triệu đô la,1,SUCCESS,3.073,1221,7,0,3.073
6241c1035d56ee4d,Tài sản trung bình (tính bằng tỷ đô la) của từng quỹ tự tài trợ của công ty là bao nhiêu?,390.525,Không có thông tin về tài sản trung bình của từng quỹ tự tài trợ trong ngữ cảnh được cung cấp.,0,SUCCESS,3.6125,958,39,0,3.6125
f9c21e94896b6005,Tỷ lệ phần trăm tăng thêm cho các khoản bổ sung bán hàng mới của dự trữ mua lại từ năm 2008 đến năm 2009 là bao nhiêu?,0.43478,43.48%,1,SUCCESS,25.1295,1076,4,0,25.1295
2cf9f92797f985db,Lợi nhuận sau thuế (LNST) dự báo cho năm 2024 là bao nhiêu tỷ đồng?,40791.0,"40,791 tỷ đồng",1,SUCCESS,3.7949,1288,7,0,3.7949
911f58bf5305ecfa,lợi nhuận cao nhất trong năm đầu tiên của khoản đầu tư là bao nhiêu?,40.0,"ROE cao nhất trong năm đầu tiên là 45.6% (vinumqa_0040, FY 2015).",0,SUCCESS,3.6435,1209,28,0,3.6435
cb69624b08f7e46e,Tổng thu nhập hàng năm của một nhân viên là bao nhiêu?,125000.0,Không có thông tin trong ngữ cảnh để trả lời câu hỏi này.,0,SUCCESS,3.7738,854,23,0,3.7738
ae53ef1f97228793,Tổng dự phòng cụ thể trong danh mục TDR tổng thể tính bằng tỷ đồng vào ngày 31 tháng 12 năm 2014 và ngày 31 tháng 12 năm 2013 là bao nhiêu?,0.9,4 tỷ đô la và 5 tỷ đô la.,0,SUCCESS,4.0035,971,15,0,4.0035
af6af8c2abaf62b0,"Dựa trên P/B dự phóng cuối năm 2022 và P/B hợp lý, tiềm năng tăng giá là bao nhiêu phần trăm?",0.25,25%,1,SUCCESS,3.3959,953,2,0,3.3959
bafcb6d69bb9e99a,Phần nào của tổng thu nhập hoạt động được tạo ra bởi phân khúc Bắc Mỹ trong năm 2015?,1.12829,97.9%,0,SUCCESS,3.5276,1256,4,0,3.5276
4c37b171f1da2769,Tổng công suất (MW) của các nhà máy thủy điện mới đi vào hoạt động năm 2020 và dự án Bảo Lạc A dự kiến là bao nhiêu?,84.0,84 MW,1,SUCCESS,3.504,1301,2,0,3.504
db99c5e483886c2a,Giá cổ phiếu dựa trên tỷ suất cổ tức tại thời điểm cổ tức được tuyên bố là bao nhiêu?,12.5,Không có đủ thông tin trong ngữ cảnh để xác định giá cổ phiếu dựa trên tỷ suất cổ tức tại thời điểm cổ tức được tuyên bố.,0,SUCCESS,4.4275,1030,48,0,4.4275
e477e91dd73506dc,Tỷ lệ phần trăm công nghệ hiện có trong tổng tài sản vô hình là bao nhiêu?,0.65,65%,1,SUCCESS,3.9925,1264,2,0,3.9925
caf683e0dfae7289,Doanh thu năm 2020 đã giảm bao nhiêu phần trăm so với năm 2019?,0.38495,28%,0,SUCCESS,26.4417,1286,2,0,26.4417
238439be38cf05e5,Lợi nhuận sau thuế (LNST) thấp nhất (tính bằng VNDbn) trong giai đoạn được báo cáo là bao nhiêu?,129.0,129,1,SUCCESS,3.9283,1245,1,0,3.9283
23717ab10aff5a44,"Dựa trên giá mục tiêu của IDC và EPS dự phóng cho năm 2022, tỷ lệ P/E ngụ ý là bao nhiêu?",11.76088,Không có thông tin về giá mục tiêu của IDC trong ngữ cảnh được cung cấp.,0,SUCCESS,3.6639,1124,27,0,3.6639
50abdb20e9828b8b,"Sự thay đổi trong các khoản thanh toán gốc đến hạn năm 2006 so với năm 2007 là bao nhiêu, tính bằng nghìn?",-256245.0,"624,539 - 75,896 = 548,643 nghìn.",0,SUCCESS,4.1296,430,15,0,4.1296
6b1f441ea71fd6dd,Tổng tăng trưởng doanh thu mảng bán lẻ và bán sỉ dự kiến trong năm 2022 là bao nhiêu phần trăm?,56.4,"44,3% và 12,1%",0,SUCCESS,3.7331,1348,10,0,3.7331
1e0b0ddc3b61e2d7,Lợi nhuận hoạt động trước dự phòng dự kiến sẽ tăng bao nhiêu (tỷ đồng) từ năm 2020 đến năm 2021?,6451.0,5861,0,SUCCESS,3.9882,1455,2,0,3.9882
98f35c691b930487,Tỷ lệ thay đổi phần trăm của dòng tiền ròng ra trong năm 2010 so với năm 2009 là bao nhiêu?,0.92525,92.5%,1,SUCCESS,4.2248,1357,4,0,4.2248
011ce542523a6dfc,"Tính đến ngày 31 tháng 12 năm 2017, tỷ lệ phần trăm tiền mặt ròng sử dụng cho hoạt động đầu tư so với tiền mặt ròng cung cấp bởi hoạt động kinh doanh là bao nhiêu?",0.71289,71.3%,1,SUCCESS,4.3872,1192,4,0,4.3872
c631f414055a756a,Lãi ròng dự phóng cho năm 2023 chiếm bao nhiêu phần trăm so với doanh thu dự phóng cho cùng năm?,4.52004,,0,EMPTY_PREDICTION,20.8318,0,0,0,20.8318
aa069fa5d9ccd6c7,EPS (thu nhập trên mỗi cổ phiếu) của TDC năm 2022 dự kiến tăng bao nhiêu lần so với năm 2021?,2.46017,2.46 lần,1,SUCCESS,3.9947,1219,5,0,3.9947
2cce2b48b8d2d6ac,tổng doanh thu của năm tài chính 2018 và 2019 là bao nhiêu (tỷ VND)?,50931.0,"42,931 tỷ VND",0,SUCCESS,3.611,1231,7,0,3.611
e20982ccce401788,tỷ lệ phần trăm trung bình mà chi phí thuê giảm từ năm 2011 đến năm 2013 là bao nhiêu?,0.34994,22.4%,0,SUCCESS,4.2043,642,4,0,4.2043
c59709076a98b640,Số lượng cổ phiếu trung bình được mua trong tháng 10 và tháng 11 là bao nhiêu?,1633444.5,"1,633,444.5 cổ phiếu",1,SUCCESS,4.0486,1189,11,0,4.0486
47bd7906fa0faa6f,"công ty đã mua lại khoảng 1,06 tỷ đô la các khoản đầu tư này trong quỹ phòng hộ trong năm kết thúc ngày 31 tháng 12 năm 2012. con số này chiếm bao nhiêu phần trăm trong tổng số quỹ còn lại vào ngày 31/12/21?",0.48916,Không thể xác định từ ngữ cảnh vì không có dữ liệu về tổng số quỹ còn lại vào ngày 31/12/21.,0,SUCCESS,3.5508,1009,40,0,3.5508
0e5adc555963a2c4,Tỷ lệ lợi nhuận gộp mảng xây dựng (LNHDXD) năm 2020 giảm bao nhiêu phần trăm so với năm 2019?,2.0,2.0%,0,SUCCESS,4.0464,1326,4,1,4.0464
a80bfb3133ce9a50,"Tính đến ngày 21 tháng 2 năm 2018, tổng số cổ đông sở hữu cổ phiếu phổ thông là bao nhiêu?",2797.0,1308 + 75 + 1414 = 2797,0,SUCCESS,4.0177,1392,13,0,4.0177
bd8f343fcf6fbc06,Tỷ lệ tăng trưởng lợi nhuận hoạt động của hệ thống không gian trong năm 2011 là bao nhiêu?,0.03204,Không có thông tin về tỷ lệ tăng trưởng lợi nhuận hoạt động của hệ thống không gian trong năm 2011 trong ngữ cảnh.,0,SUCCESS,4.1882,1288,44,0,4.1882
b0729061f94bd2e3,Chi phí thuê trung bình từ năm 2010 đến 2012 là bao nhiêu?,324.5,"231 triệu đô la, 205 triệu đô la và 210 triệu đô la cho các năm 2012, 2011 và 2010. Trung bình = (231 + 205 + 210) / 3 = 215.33 triệu đô la.",0,SUCCESS,3.7634,791,61,0,3.7634
30d8b6a7396b6f4b,Tính phần trăm giảm biên lợi nhuận từ năm 2019 đến năm 2020 dự báo ?,-0.21801,9.3% / 11.5% - 1 = -19.13% (giảm khoảng 19.13%),0,SUCCESS,3.9543,1157,30,0,3.9543
b8be2f580b75ef97,"Số nợ dài hạn đến hạn trong 36 tháng tới tính đến ngày 31 tháng 12 năm 2003 là bao nhiêu, tính bằng triệu?",1041.531,"2,607.7 triệu",0,SUCCESS,15.5395,461,6,0,15.5395
377da13f85c63387,doanh thu đã tăng bao nhiêu phần trăm từ năm tài chính 2018 đến 2019?,0.31448,26.1%,0,SUCCESS,4.2461,1254,4,0,4.2461
b8dabd4374b31c49,Tổng số khoản thanh toán thuê tối thiểu trong tương lai sau 5 năm chiếm bao nhiêu phần trăm tổng số còn lại?,0.15465,42.9%,0,SUCCESS,3.602,665,4,0,3.602
fae193c9c50d35df,Tính mức tăng sản lượng giấy kraft của DHC trong năm 2020 so với công suất thiết kế 280.000 tấn/năm.,1034.0,198%,0,SUCCESS,3.349,1496,2,0,3.349
9abb81bb3573666a,Tính tỷ lệ phần trăm tăng trưởng lợi nhuận trước thuế quý 3 năm 2020 so với quý 3 năm 2019.,0.16559,16.6%,1,SUCCESS,3.874,1738,4,0,3.874
73e4cbb1ae6d4b8b,Tính tỷ lệ ROE năm 2021 dự báo so với năm 2020 ?,1.24242,"16.4 / 13.2 = 1.2424, tức tăng 24.24%.",0,SUCCESS,4.255,1222,24,0,4.255
2ec54f78572afb57,Tỷ lệ phần trăm doanh số bán bao bì công nghiệp năm 2006 trên doanh số bán containerboard là bao nhiêu?,0.19391,Không có đủ thông tin trong ngữ cảnh để trả lời câu hỏi này.,0,SUCCESS,3.8478,1376,25,0,3.8478
fcd445b9b354882b,Tỷ lệ phần trăm thay đổi trong các khoản bổ sung tính vào chi phí từ năm 2011 đến 2012 trong phần dự phòng các khoản phải thu khó đòi là bao nhiêu?,0.41429,41.4%,1,SUCCESS,3.7284,1096,4,0,3.7284
4a3193d58318307d,Phần nào trong tổng số nhân viên toàn thời gian của các hoạt động chính là tiếp viên hàng không?,0.24335,20.2%,0,SUCCESS,3.6856,1059,4,0,3.6856
2a639c07e211bb8e,tính tỷ lệ lợi nhuận trước dự phòng trên tổng thu nhập dự kiến cho năm 2021.,0.65206,"Dựa trên bảng dữ liệu năm tài chính, năm 2021F có:
- Lợi nhuận trước dự phòng: 39,763 tỷ đồng
- Tổng thu nhập = Thu nhập lãi thuần + Thu nhập ngoài lãi = 43,408 + 17,573 = 60,981 tỷ đồng

Tỷ lệ = 39,763 / 60,981 ≈ 65.2%

**65.2%**",0,SUCCESS,4.6723,1811,120,0,4.6723
