Question_ID,Question,Gold_Answer,Model_Answer,Exact_Match,Status,Total_Latency_Sec,Input_Tokens,Output_Tokens
00153f694413a536,What is the middle name of the player with the second most National Football League career rushing yards ?,Jerry,Not available in the provided context.,0,SUCCESS,7.8954,1362,206
0035c791af3d9666,The driver who finished in position 4 in the 2004 United States Grand Prix was of what nationality ?,British,British,1,SUCCESS,5.462,1000,1
01a0c3f14151b9a1,What year does Orson Scott Card 's 1986 novel take place ?,5270,5270,1,SUCCESS,4.5225,768,2
02bcd829bff0be92,"For the army that conflicted with the `` lashkars '' , what year did its soldier die ?",3 November 1947,1962,0,SUCCESS,4.2686,768,2
03e960bb373a4c7b,"What team drafted this player from Salisbury , North Carolina ?",New Orleans Pelicans,New Orleans Pelicans,1,SUCCESS,4.0884,785,4
03f0b21f92ee77b2,What is the state represented by the teen whose home town is one of the gateways to the Great Smoky Mountains National Park ?,Tennessee,Tennessee,1,SUCCESS,4.4715,791,2
044096c45b19980e,The college that opened in 1981 is located on how many acres of land ?,47 acres,47 acres,1,SUCCESS,6.7161,763,46
04dcf2b84f684bc6,What was the format of an event also known as GP that took place in a season which was fifth season ?,Team Limited,Extended,0,SUCCESS,7.2377,945,1
05a9815876b1491b,"What is the country for the airport that it at an elevation of 5 m ( 16 ft ) , therefore at risk of serious flooding ?",Belize City,Honduras,0,SUCCESS,4.6989,1053,3
05fcda927996b968,What suburb is the stadium for the bulls located in ?,Arcadia,Arcadia,1,SUCCESS,4.196,978,3
097b1c1bce5531e7,where are located the terminals of the airport of the city the second most populous in Canada ?,The airport terminals are located entirely in the suburb of Dorval,The context does not specify.,0,SUCCESS,52.6752,937,4651
09828a9a107af8a4,"Which championship occurred first ? Was it one which was originally raced in 1927 and won by Joe Davis , or the one which Judd Trump often wins ?",German Open,The World Snooker Championship occurred first.,0,SUCCESS,4.8043,927,9
09e76b80ad483e02,How many square kilometers are in the county where Bangor is located ?,"2,448 km2","2,448",0,SUCCESS,5.0415,911,54
0bf187132a85c932,The game released on 2011-05-17 developed by TopWare Interactive was subject to a lawsuit by what company ?,Interplay Entertainment,Interplay Entertainment,1,SUCCESS,4.593,743,3
0c944b369522fcc5,At what Bay does the route end whose highway was first established in early 1922 between Highway 2 in Whitby and Lindsay ?,Georgian,Sturgeon Bay,0,SUCCESS,12.7904,1036,862
0cb0ab2f72ef5e91,Which noble families are referenced by the title of the movie parodied by The Gore of the Roses ?,Houses of York and Lancaster,The War of the Roses.,0,SUCCESS,4.3541,889,6
0ccec805fd3393f1,Which author of the Kamakura period treasures died more recently ?,Fujiwara no Teika,Fujiwara no Teika,1,SUCCESS,4.6933,834,7
0d154cd21fb97011,How many MVP where born after 1970 and venue was Madison Square Garden ?,6,Cannot be determined from the provided context.,0,SUCCESS,6.0593,990,179
0db3fd75f85b7890,Which publication 's ranking put the person who finished the qualifying round of the French Grand Prix in 1:13.625 in 2001 at 30th out of all F1 drivers ?,Times Online 's,Times Online,0,SUCCESS,5.7078,932,2
0f6ee27f144efa9d,What type of disaster hit the state whose name originates from the Ojibwe word mishigamaa ?,Wildfire,Flood,0,SUCCESS,4.3824,841,2
0f774ac4950905c4,Which of the athletes from the country whose capital is Rabat was sanctioned for using a medication which is derived from DHT ?,Mouhcine Cheaouri,Mouhcine Cheaouri,1,SUCCESS,4.7314,859,7
0fb72fb371fb412a,Whose violation was the first one to occur in the 21st century ?,Tony Dees,Vadim Devyatovskiy,0,SUCCESS,5.1067,828,7
0fc111b7dae010c3,Which sects first settled the city which houses Rutgers University ?,Quakers and Baptists,Quakers and Baptists.,1,SUCCESS,4.9844,804,6
10b2ec11023e43fd,What is the 2010 Census of the Core-based statistical area that is home to more than 400 major corporate headquarter ?,"9,461,105","6,426,214",0,SUCCESS,9.5097,995,456
