model,qa_id,trace_index,question,gold,prediction,Primary_Root_Cause,Error_Subtype,Secondary_Error,Trace_Evidence,Short_Explanation,trace_file
Qwen,03e960bb373a4c7b,q_000005,"What team drafted this player from Salisbury , North Carolina ?",New Orleans Pelicans,": The Cleveland Cavaliers drafted a player from North Carolina, and potentially from Salisbury. If you have more specific information about a player from Salisbury, North Carolina, please provide it for a more precise answer.",SQL,Logical,Final synthesis used wrong SQL output,"SQL result: ""[{\""team_s_played_years\"": \""Chicago Bulls ( 2019 -present )\""}]""; SQL: SELECT `team_s_played_years` FROM `list_of_oldest_and_y_03b5daa4` WHERE `player` = 'Coby White';","The SQL executed but returned the wrong value due to query logic, filtering, aggregation, or sorting.",traces_qwen\q_000005.json
Qwen,097b1c1bce5531e7,q_000008,where are located the terminals of the airport of the city the second most populous in Canada ?,The airport terminals are located entirely in the suburb of Dorval,": The terminals of Montréal-Pierre Elliott Trudeau International Airport are located entirely in the suburb of Dorval, Quebec.",Retrieval,Missing context,Downstream SQL/synthesis lacked the needed evidence,"Gold answer not found in retrieved context/evidence. Top files: Brad_Nelson_(Magic:_The_Gathering_player)_0.json, Gerry_Thompson_0.json, Paulo_Vitor_Damo_da_Rosa_0.json",The trace does not contain the gold answer or equivalent evidence before reasoning begins.,traces_qwen\q_000008.json
Qwen,09828a9a107af8a4,q_000009,"Which championship occurred first ? Was it one which was originally raced in 1927 and won by Joe Davis , or the one which Judd Trump often wins ?",German Open,: The championship that occurred first in the provided table is The Classic in 1988. The other championships mentioned in your query are not listed in this table.,Retrieval,Missing context,Downstream SQL/synthesis lacked the needed evidence,"Gold answer not found in retrieved context/evidence. Top files: WestJet_Encore_destinations_0.json, List_of_the_busiest_airports_in_Central_America_4.json, List_of_the_busiest_airports_in_Central_America_7.json",The trace does not contain the gold answer or equivalent evidence before reasoning begins.,traces_qwen\q_000009.json
Qwen,0c944b369522fcc5,q_000012,At what Bay does the route end whose highway was first established in early 1922 between Highway 2 in Whitby and Lindsay ?,Georgian,": The route ends at Sturgeon Bay. Highway 12 was first established in early 1922 between Highway 2 in Whitby and Lindsay, and it runs through the area near Sturgeon Bay.",Retrieval,Missing context,Downstream SQL/synthesis lacked the needed evidence,"Gold answer not found in retrieved context/evidence. Top files: All-Ireland_Senior_Football_Championship_records_and_statistics_0.xlsx, Nacional_championship_0.xlsx, CONCACAF_Champions'_Cup_and_Champions_League_records_and_statistics_0.xlsx",The trace does not contain the gold answer or equivalent evidence before reasoning begins.,traces_qwen\q_000012.json
Qwen,0cb0ab2f72ef5e91,q_000013,Which noble families are referenced by the title of the movie parodied by The Gore of the Roses ?,Houses of York and Lancaster,: The noble families referenced by the title of the movie parodied by *The Gore of the Roses* are the House of Lancaster and the House of York.,Retrieval,Missing context,Downstream SQL/synthesis lacked the needed evidence,"Gold answer not found in retrieved context/evidence. Top files: Irish_Sea_0.json, List_of_Ramsar_sites_in_Northern_Ireland_0.json, Languages_of_the_United_Kingdom_0.json",The trace does not contain the gold answer or equivalent evidence before reasoning begins.,traces_qwen\q_000013.json
Qwen,0db3fd75f85b7890,q_000016,Which publication 's ranking put the person who finished the qualifying round of the French Grand Prix in 1:13.625 in 2001 at 30th out of all F1 drivers ?,Times Online 's,": The publication whose ranking put Juan Pablo Montoya, who finished the qualifying round of the French Grand Prix in 1:13.625 in 2001, at 30th out of all F1 drivers is Times Online.",Retrieval,Missing context,Downstream SQL/synthesis lacked the needed evidence,"Gold answer not found in retrieved context/evidence. Top files: List_of_film_spoofs_in_Mad_4.json, List_of_castles_in_Greater_Manchester_0.json, List_of_Renaissance_composers_1.json",The trace does not contain the gold answer or equivalent evidence before reasoning begins.,traces_qwen\q_000016.json
Qwen,0f6ee27f144efa9d,q_000017,What type of disaster hit the state whose name originates from the Ojibwe word mishigamaa ?,Wildfire,": The type of disaster that hit Michigan, a state whose name originates from the Ojibwe word *mishigamaa*, was a stampede. This refers to the Italian Hall Disaster in Calumet, Michigan, in 1913.",Retrieval,Missing context,Downstream SQL/synthesis lacked the needed evidence,"Gold answer not found in retrieved context/evidence. Top files: List_of_National_Treasures_of_Japan_(writings:_others)_1.json, List_of_National_Treasures_of_Japan_(writings:_Japanese_books)_0.json, List_of_National_Treasures_of_Japan_(crafts:_others)_4.json",The trace does not contain the gold answer or equivalent evidence before reasoning begins.,traces_qwen\q_000017.json
Qwen,0f774ac4950905c4,q_000018,Which of the athletes from the country whose capital is Rabat was sanctioned for using a medication which is derived from DHT ?,Mouhcine Cheaouri,: None.,Retrieval,Missing context,Downstream SQL/synthesis lacked the needed evidence,"Gold answer not found in retrieved context/evidence. Top files: Jordan_Brand_Classic_0.json, Big_East_Men's_Basketball_Tournament_0.json, List_of_National_Hockey_League_attendance_figures_5.json",The trace does not contain the gold answer or equivalent evidence before reasoning begins.,traces_qwen\q_000018.json
Qwen,0fc111b7dae010c3,q_000020,Which sects first settled the city which houses Rutgers University ?,Quakers and Baptists,": The Dutch and Swedes were the first European settlers in New Brunswick, New Jersey.",Retrieval,Missing context,Downstream SQL/synthesis lacked the needed evidence,"Gold answer not found in retrieved context/evidence. Top files: List_of_disasters_in_the_United_States_by_death_toll_3.xlsx, List_of_disasters_in_the_United_States_by_death_toll_3.json, List_of_disasters_in_the_United_States_by_death_toll_1.json",The trace does not contain the gold answer or equivalent evidence before reasoning begins.,traces_qwen\q_000020.json
Qwen,145825860ef076ea,q_000024,Who is the director of the most recent film to feature one of Shende 's songs ?,Gautham,": The director of the most recent film to feature one of Shende's songs, *Neethaane En Ponvasantham*, is Ilaiyaraja.",SQL,Schema/column,,"[[""SELECT `t_2010_census` FROM `list_of_core_based_statistical_areas_0` WHERE `core_based_statistical_area` IN ( SELECT `core_based_statistical_area` FROM `list_of_core_based_statistical_areas_0` WHERE `major_corporate_headquarters` > 400 );"", ""SQL executio...",The first concrete failure is an invalid table/column/identifier in the SQL event.,traces_qwen\q_000024.json
Qwen,14cf3e3f6de12822,q_000025,What is the population of the location that contains a tree on the list that is a registered natural monument of the country ?,over one million people,: No such location can be determined from the provided information.,Retrieval,Missing context,Downstream SQL/synthesis lacked the needed evidence,"Gold answer not found in retrieved context/evidence. Top files: 2001_Brazilian_Grand_Prix_0.json, 2001_Brazilian_Grand_Prix_0.xlsx, 2001_Brazilian_Grand_Prix_0.json",The trace does not contain the gold answer or equivalent evidence before reasoning begins.,traces_qwen\q_000025.json
Qwen,174f991d704c85a5,q_000027,What historic place is located in a city where U.S . Highways 2 and 169 are two of the main roads ?,Frank Gran Farmstead,: There is no confirmed historic place in the provided information located in a city where both U.S. Highway 2 and U.S. Highway 169 are main roads.,Retrieval,Missing context,Downstream SQL/synthesis lacked the needed evidence,"Gold answer not found in retrieved context/evidence. Top files: Bela_Shende_0.json, Pamela_Chopra_0.json, Vijay_Prakash_1.json",The trace does not contain the gold answer or equivalent evidence before reasoning begins.,traces_qwen\q_000027.json
