question_id,table_id,question,gold,prediction,status,strict_exact_match,normalized_exact_match,numeric_exact_match,vinumqa_match,total_latency_seconds,reasoning_steps,avg_latency_per_step_seconds,error
6ed57e2cc8e3a916,vinumqa_0001,Doanh thu cao nhất trong giai đoạn FY17-FY21 là bao nhiêu (tỷ VND)?,4216.0,4216,ok,0,0,1,1,13.53862058499999,,,
53e4ecb424fb32b7,vinumqa_0002,Biên lợi nhuận đóng gói tiêu dùng trong năm 2013 là bao nhiêu?,0.04687,**Empty answer**,ok,0,0,0,0,15.343172935999974,,,
07533e4ae61fe888,vinumqa_0003,Giá trị EBIT thấp nhất trong giai đoạn 2014-2019?,268.0,268,ok,0,0,1,1,6.496292079999876,,,
77ca979a0884a3dd,vinumqa_0004,Lợi nhuận sau thuế của VSH trong năm 2021 tăng bao nhiêu tỷ đồng so với năm 2020?,293.0,**Empty answer**,ok,0,0,0,0,24.878030665000097,,,
a60f6763aff3c35f,vinumqa_0005,Biên lợi nhuận hoạt động kinh doanh (Biên LN HĐKD) cao nhất trong giai đoạn được liệt kê là bao nhiêu phần trăm?,25.7,56.1,ok,0,0,0,0,27.092503607999788,,,
dba2f48e8cfd3388,vinumqa_0006,Tỷ suất lợi nhuận đầu tư (ROI) của khoản đầu tư vào chỉ số Nasdaq Composite từ tháng 3 năm 2006 đến tháng 3 năm 2009 là bao nhiêu?,-0.3467,-34.67%,ok,0,0,1,1,14.941664020999724,,,
aba68a617a0cf19a,vinumqa_0007,Mức tăng chi phí xây dựng tính theo phần trăm so với mức tăng tiền mặt ròng sử dụng trong hoạt động đầu tư năm 2003 là bao nhiêu?,0.65153,65%,ok,0,0,0,0,31.00018099199997,,,
0eb69867f3de6f97,vinumqa_0008,tỷ lệ tăng trung bình trong số dư lợi ích thuế chưa được công nhận từ năm 2011 đến 2013 là bao nhiêu?,0.90147,**Empty answer**,ok,0,0,0,0,38.95614934000014,,,
fea7e78932a43c31,vinumqa_0009,Doanh thu thuần cao nhất trong giai đoạn 2019-2023F là bao nhiêu (tỷ đồng)?,2333.0,2333,ok,0,0,1,1,11.900656602000254,,,
cc8d09b602aeb047,vinumqa_0010,"Chi phí vốn trung bình hàng năm cho bộ phận doanh nghiệp là bao nhiêu, tính bằng triệu đô la?",44.66667,(empty),ok,0,0,0,0,18.322796029000074,,,
6241c1035d56ee4d,vinumqa_0011,Tài sản trung bình (tính bằng tỷ đô la) của từng quỹ tự tài trợ của công ty là bao nhiêu?,390.525,**Empty answer**,ok,0,0,0,0,11.603909091000332,,,
