Index,Batch_ID,Question_ID,Table_ID,Question,Gold_Answer,Model_Answer,Exact_Match,LLM_Judge,Status,Num_Iterations,Total_Latency_Sec,Avg_Latency_Per_Step,API_Call_Count,Input_Tokens,Output_Tokens,Total_Tokens
1,,00153f694413a536,List_of_National_Football_League_rushing_yards_leaders_0,What is the middle name of the player with the second most National Football League career rushing yards ?,Jerry,": The player with the second most National Football League career rushing yards is Walter Payton, who recorded 16,726 rushing yards (second only to Emmitt Smith's 18,355). Walter Payton's full name is Walter Jerry Payton, so his middle name is **Jerry**.",0,NOT_RUN,SUCCESS,3,185.9927,61.9976,7,9160,12283,21443
2,,0035c791af3d9666,2004_United_States_Grand_Prix_0,The driver who finished in position 4 in the 2004 United States Grand Prix was of what nationality ?,British,": Jenson Button, who finished in position 4, is British (United Kingdom).",0,NOT_RUN,SUCCESS,3,42.1044,14.0348,7,7599,686,8285
3,,01a0c3f14151b9a1,Orson_Scott_Card_bibliography_0,What year does Orson Scott Card 's 1986 novel take place ?,5270,": Orson Scott Card's 1986 novel is **Speaker for the Dead**, and the story takes place around the year **5270**.",0,NOT_RUN,SUCCESS,3,28.727,9.5757,7,9770,861,10631
4,,02bcd829bff0be92,Param_Vir_Chakra_0,"For the army that conflicted with the `` lashkars '' , what year did its soldier die ?",3 November 1947,": The army that conflicted with the ""lashkars"" was the Indian Army, which fought against tribal raiders at the Battle of Badgam. Its soldier, Major Somnath Sharma, died in the year **1947** (on 3 November 1947).",0,NOT_RUN,SUCCESS,3,72.7938,24.2646,7,10110,2448,12558
5,,03e960bb373a4c7b,List_of_oldest_and_youngest_National_Basketball_Association_players_3,"What team drafted this player from Salisbury , North Carolina ?",New Orleans Pelicans,": The player from Salisbury, North Carolina is Zion Williamson. According to the table, he was selected with the 1st overall pick in the 2019 NBA Draft, and his team is the New Orleans Pelicans (2019–present). Therefore, the team that drafted him is the **New Orleans Pelicans**.",0,NOT_RUN,SUCCESS,3,39.0192,13.0064,7,9253,1160,10413
6,,03f0b21f92ee77b2,Miss_Teen_USA_special_awards_1,What is the state represented by the teen whose home town is one of the gateways to the Great Smoky Mountains National Park ?,Tennessee,Tennessee,1,NOT_RUN,SUCCESS,2,36.3697,18.1849,4,4696,74,4770
7,,044096c45b19980e,"List_of_schools_in_Perth,_Western_Australia_7",The college that opened in 1981 is located on how many acres of land ?,47 acres,47,0,NOT_RUN,SUCCESS,3,264.5909,88.197,10,6844,11910,18754
8,,04dcf2b84f684bc6,Antoine_Ruel_0,What was the format of an event also known as GP that took place in a season which was fifth season ?,Team Limited,Booster Draft,0,NOT_RUN,SUCCESS,2,21.5363,10.7682,4,4184,74,4258
9,,05a9815876b1491b,List_of_the_busiest_airports_in_Central_America_4,"What is the country for the airport that it at an elevation of 5 m ( 16 ft ) , therefore at risk of serious flooding ?",Belize City,Panama,0,NOT_RUN,SUCCESS,2,25.7428,12.8714,4,4314,76,4390
10,,05fcda927996b968,List_of_association_football_stadiums_by_country_6,What suburb is the stadium for the bulls located in ?,Arcadia,Pretoria,0,NOT_RUN,SUCCESS,2,30.0844,15.0422,4,4258,61,4319
11,,097b1c1bce5531e7,List_of_the_busiest_airports_in_Canada_5,where are located the terminals of the airport of the city the second most populous in Canada ?,The airport terminals are located entirely in the suburb of Dorval,": The terminals of the airport serving the second most populous city in Canada (Montreal) are located in **Dorval, Quebec, Canada**. Montréal–Pierre Elliott Trudeau International Airport's terminal is situated in the Montreal suburb of Dorval (an island on the western part of the Island of Montreal).",0,NOT_RUN,SUCCESS,4,119.1932,29.7983,10,13395,1472,14867
12,,09828a9a107af8a4,Ronnie_O'Sullivan_0,"Which championship occurred first ? Was it one which was originally raced in 1927 and won by Joe Davis , or the one which Judd Trump often wins ?",German Open,": The championship that occurred first is the **World Snooker Championship**, which was originally held in 1927 and won by Joe Davis. Judd Trump has won this same championship in more recent years (2019), but the championship itself originated in 1927, making it the one that occurred first.",0,NOT_RUN,SUCCESS,2,289.501,144.7505,5,4764,218,4982
13,,09e76b80ad483e02,Irish_Sea_0,How many square kilometers are in the county where Bangor is located ?,"2,448 km2",": Bangor is located in County Down, which has an area of approximately 2,448 square kilometers.",0,NOT_RUN,SUCCESS,3,459.7813,153.2604,7,8259,38765,47024
14,,0bf187132a85c932,List_of_Games_for_Windows_titles_5,The game released on 2011-05-17 developed by TopWare Interactive was subject to a lawsuit by what company ?,Interplay Entertainment,: The game released on 2011-05-17 developed by TopWare Interactive was subject to a lawsuit by **TopWare Interactive**.,0,NOT_RUN,SUCCESS,4,263.927,65.9818,10,13047,481,13528
