Index,Batch_ID,Question_ID,Table_ID,Question,Gold_Answer,Qwen_Answer,Exact_Match,LLM_Judge,Status,Num_Iterations,Total_Latency_Sec,Avg_Latency_Per_Step,API_Call_Count,Input_Tokens,Output_Tokens,Total_Tokens
1,,00153f694413a536,List_of_National_Football_League_rushing_yards_leaders_0,What is the middle name of the player with the second most National Football League career rushing yards ?,Jerry,: The middle name of the player with the second most National Football League career rushing yards is Jerry.,0,NOT_RUN,SUCCESS,3,15.2375,5.0792,7,8881,184,9065
2,,0035c791af3d9666,2004_United_States_Grand_Prix_0,The driver who finished in position 4 in the 2004 United States Grand Prix was of what nationality ?,British,: The nationality of the driver who finished in position 4 in the 2004 United States Grand Prix is British.,0,NOT_RUN,SUCCESS,2,10.6125,5.3063,4,4622,120,4742
3,,01a0c3f14151b9a1,Orson_Scott_Card_bibliography_0,What year does Orson Scott Card 's 1986 novel take place ?,5270,": The novel 'Speaker for the Dead' takes place around the year 5270, some 3,000 years after the events in 'Ender's Game'. However, it was published in the year 1986.",0,NOT_RUN,SUCCESS,3,26.162,8.7207,7,9224,301,9525
4,,02bcd829bff0be92,Param_Vir_Chakra_0,"For the army that conflicted with the `` lashkars '' , what year did its soldier die ?",3 November 1947,": Soldiers died in the Indo-Pakistani War of 1947-1948 in both 1947 and 1948. Specifically, Somnath Sharma died on 3 November 1947, and Piru Singh Shekhawat died on 17 July 1948.",0,NOT_RUN,SUCCESS,3,52.8166,17.6055,11,7572,389,7961
5,,03e960bb373a4c7b,List_of_oldest_and_youngest_National_Basketball_Association_players_3,"What team drafted this player from Salisbury , North Carolina ?",New Orleans Pelicans,": The Cleveland Cavaliers drafted a player from North Carolina, and potentially from Salisbury. If you have more specific information about a player from Salisbury, North Carolina, please provide it for a more precise answer.",0,NOT_RUN,SUCCESS,2,17.7694,8.8847,4,5225,409,5634
6,,03f0b21f92ee77b2,Miss_Teen_USA_special_awards_1,What is the state represented by the teen whose home town is one of the gateways to the Great Smoky Mountains National Park ?,Tennessee,: Tennessee,1,NOT_RUN,SUCCESS,2,14.6461,7.3231,4,4689,319,5008
7,,044096c45b19980e,"List_of_schools_in_Perth,_Western_Australia_7",The college that opened in 1981 is located on how many acres of land ?,47 acres,,0,NOT_RUN,API_ERROR,0,0.0,0.0,6,4410,329,4739
8,,04dcf2b84f684bc6,Antoine_Ruel_0,What was the format of an event also known as GP that took place in a season which was fifth season ?,Team Limited,,0,NOT_RUN,API_ERROR,0,0.0,0.0,0,0,0,0
9,,05a9815876b1491b,List_of_the_busiest_airports_in_Central_America_4,"What is the country for the airport that it at an elevation of 5 m ( 16 ft ) , therefore at risk of serious flooding ?",Belize City,": The country for the airport that is at an elevation of 5 m (16 ft) and therefore at risk of serious flooding is **Belize**. The airport in question is Philip S. W. Goldson International Airport, which serves Belize City.",0,NOT_RUN,SUCCESS,2,14.2819,7.141,4,4067,208,4275
10,,05fcda927996b968,List_of_association_football_stadiums_by_country_6,What suburb is the stadium for the bulls located in ?,Arcadia,,0,NOT_RUN,API_ERROR,0,0.0,0.0,0,0,0,0
11,,097b1c1bce5531e7,List_of_the_busiest_airports_in_Canada_5,where are located the terminals of the airport of the city the second most populous in Canada ?,The airport terminals are located entirely in the suburb of Dorval,": The terminals of Montréal-Pierre Elliott Trudeau International Airport are located entirely in the suburb of Dorval, Quebec.",0,NOT_RUN,SUCCESS,3,65.3962,21.7987,11,6838,369,7207
12,,09828a9a107af8a4,Ronnie_O'Sullivan_0,"Which championship occurred first ? Was it one which was originally raced in 1927 and won by Joe Davis , or the one which Judd Trump often wins ?",German Open,: The championship that occurred first in the provided table is The Classic in 1988. The other championships mentioned in your query are not listed in this table.,0,NOT_RUN,SUCCESS,2,13.5632,6.7816,4,4548,166,4714
13,,09e76b80ad483e02,Irish_Sea_0,How many square kilometers are in the county where Bangor is located ?,"2,448 km2",": The area of County Down, where Bangor is located, is 2,448 square kilometers.",0,NOT_RUN,SUCCESS,3,64.6269,21.5423,11,6427,287,6714
